"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"13616","8.856896","10.1.0.10","10.1.0.11","WebSocket","4800","","","WebSocket Continuation[FRAGMENT]  "
"13618","8.865014","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13619","8.865014","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13620","8.865014","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13641","8.866475","10.1.0.10","10.1.0.11","WebSocket","7028","","","WebSocket Continuation[FRAGMENT]  "
"13643","8.875987","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13644","8.875987","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13645","8.875987","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13666","8.877403","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"13668","8.882716","10.1.0.11","10.1.0.10","TCP","698","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=1390001 Win=131072 Len=0 TSval=8894 TSecr=8660"
"13688","8.884024","10.1.0.10","10.1.0.11","TCP","1060","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3458001 Win=131072 Len=0 TSval=8888 TSecr=8785"
"13690","8.892350","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13691","8.892350","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13692","8.892350","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13713","8.893784","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"13715","8.903278","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13716","8.903278","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13717","8.903278","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13738","8.904686","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"13759","8.915836","10.1.0.10","10.1.0.11","TCP","1060","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3484001 Win=131072 Len=0 TSval=8915 TSecr=8805"
